experiments,stimulus,response,goodness,rt,subj
2,s1_t2_r2,ac,5,2.903797029,E2_BaeYJ
2,s1_t2_r2,ac,4,0.48050887,E2_BaeYJ
2,s1_t2_r2,ac,4,0.469644223,E2_BaeYJ
2,s10_t2_r2,ac,2,1.500311628,E2_BaeYJ
2,s10_t2_r2,ac,3,0.905448336,E2_BaeYJ
2,s10_t2_r2,ac,3,0.368524282,E2_BaeYJ
2,s2_t2_r2,ac,5,1.684644008,E2_BaeYJ
2,s2_t2_r2,ac,5,1.937556971,E2_BaeYJ
2,s2_t2_r2,ac,5,0.07886985,E2_BaeYJ
2,s3_t2_r2,ac,1,1.715158388,E2_BaeYJ
2,s3_t2_r2,ac,1,1.037387456,E2_BaeYJ
2,s3_t2_r2,ac,1,0.565482006,E2_BaeYJ
2,s4_t2_r2,ac,3,0.68128556,E2_BaeYJ
2,s4_t2_r2,ac,2,1.015663102,E2_BaeYJ
2,s4_t2_r2,ac,2,0.708999073,E2_BaeYJ
2,s5_t2_r2,ac,2,1.579308613,E2_BaeYJ
2,s5_t2_r2,ac,2,0.8726619,E2_BaeYJ
2,s5_t2_r2,ac,2,0.621117027,E2_BaeYJ
2,s6_t2_r2,ac,2,1.246223307,E2_BaeYJ
2,s6_t2_r2,ac,2,2.848142831,E2_BaeYJ
2,s6_t2_r2,ac,1,0.719578872,E2_BaeYJ
2,s7_t2_r2,ac,3,1.10039485,E2_BaeYJ
2,s7_t2_r2,ac,2,0.307965117,E2_BaeYJ
2,s7_t2_r2,ac,1,0.59632163,E2_BaeYJ
2,s8_t2_r2,ac,2,0.517749545,E2_BaeYJ
2,s8_t2_r2,ac,2,0.699387754,E2_BaeYJ
2,s8_t2_r2,ac,2,-0.010328279,E2_BaeYJ
2,s9_t2_r2,ac,3,8.908175177,E2_BaeYJ
2,s9_t2_r2,ac,4,0.481052937,E2_BaeYJ
2,s9_t2_r2,ac,4,1.293271331,E2_BaeYJ
2,s1_t2_r2,comp,3,4.725126203,E2_BaeYJ
2,s1_t2_r2,comp,3,3.839706146,E2_BaeYJ
2,s1_t2_r2,comp,3,4.19247247,E2_BaeYJ
2,s10_t2_r2,comp,4,2.971159353,E2_BaeYJ
2,s10_t2_r2,comp,2,3.374800042,E2_BaeYJ
2,s10_t2_r2,comp,3,3.283486238,E2_BaeYJ
2,s2_t2_r2,comp,4,5.907973678,E2_BaeYJ
2,s2_t2_r2,comp,4,2.912892754,E2_BaeYJ
2,s2_t2_r2,comp,3,3.360132617,E2_BaeYJ
2,s3_t2_r2,comp,2,3.355257216,E2_BaeYJ
2,s3_t2_r2,comp,2,2.726972061,E2_BaeYJ
2,s3_t2_r2,comp,2,2.10656128,E2_BaeYJ
2,s4_t2_r2,comp,3,3.182093685,E2_BaeYJ
